metric_level,prediction_method,building_name_recent,n_days,actual_sum_kwh_clean,pred_sum_kwh,mae_kwh,rmse_kwh,mape,bias_kwh_mean,bias_pct_sum,report_month
building_month,baseline_school_shape_kwh_observed_norm,전기관,31.0,34766.0,30777.0,130.8944685697294,160.38898206396667,0.11113139810914602,-128.6774193548387,-0.1147385376517287,2026-05
building_month,baseline_school_shape_kwh_observed_norm,전기관,23.0,25576.0,31197.5,248.27361192169082,305.4147534403074,0.6319282127696791,244.41304347826082,0.21979590240850796,2026-06
building_month,baseline_school_shape_kwh_observed_norm,제1공장형실습장,30.0,20426.0,22500.000000000007,69.45160482138775,76.37065047341652,0.10131202277144118,69.13333333333334,0.10153725643787366,2026-04
building_month,baseline_school_shape_kwh_observed_norm,제1공장형실습장,31.0,24361.0,21999.999999999996,77.04809946447443,98.08088891269851,0.09155566691052731,-76.16129032258061,-0.09691720372726914,2026-05
building_month,baseline_school_shape_kwh_observed_norm,제1공장형실습장,23.0,20615.0,27499.999999999996,299.3478260869565,307.6302347467626,0.34198409290314247,299.3478260869565,0.3339801115692455,2026-06
building_month,baseline_school_shape_kwh_observed_norm,제1과학관,30.0,78973.75,79170.50000000001,198.67163283021983,256.04669663407645,0.07532070368491914,6.558333333333265,0.002491334145839783,2026-04
building_month,baseline_school_shape_kwh_observed_norm,제1과학관,31.0,79822.0,76337.00000000001,120.03531299224313,143.44588950671888,0.04871905037284721,-112.41935483870967,-0.04365964270501849,2026-05
building_month,baseline_school_shape_kwh_observed_norm,제1과학관,23.0,64070.681818181816,86851.50000000001,990.4703557312253,1098.2043200023093,0.5173094169951192,990.4703557312253,0.35555760505975315,2026-06
building_month,baseline_school_shape_kwh_observed_norm,제2공장형실습장,30.0,13223.0,11950.0,90.5658925138391,110.86708719191871,0.21745288731234438,-42.43333333333333,-0.09627164788625879,2026-04
building_month,baseline_school_shape_kwh_observed_norm,제2공장형실습장,31.0,12933.0,10890.000000000004,118.40858650530785,146.70721134459617,0.2752471245809717,-65.90322580645162,-0.15796798886569213,2026-05
